ACCESS,AU,PROJ,SID,START,STOP,ACTIVE,NWELLS,ACWELLS
5002, 8, 23, 21007, 1992, 0, 1, 1, 1
5003, 8, 23, 21818, 2005, 0, 1, 1, 1
5004, 8, 23, 21818, 2007, 0, 1, 1, 1
5005, 8, 23, 21818, 1992, 0, 1, 1, 1
5006, 8, 23, 21818, 1989, 0, 1, 1, 1
5007, 21, 23, 21818, 0, 0, 0, 0, 0
5008, 8, 23, 21818, 1992, 0, 1, 1, 1
5009, 21, 23, 21818, 0, 0, 0, 0, 0
5010, 8, 23, 21007, 1991, 0, 1, 1, 1
5011, 8, 23, 21007, 1992, 0, 1, 1, 1
5012, 8, 23, 25885, 2005, 0, 1, 1, 1
5013, 8, 23, 20202, 1991, 0, 1, 1, 1
5014, 8, 23, 20202, 2008, 0, 1, 1, 1
5015, 8, 23, 26716, 1993, 0, 1, 1, 1
5016, 8, 23, 25885, 1979, 2011, 0, 1, 0
5017, 8, 23, 25885, 1993, 0, 1, 1, 1
5018, 8, 23, 25051, 1978, 2013, 0, 1, 0
5019, 8, 23, 25051, 1993, 0, 1, 1, 1
5020, 8, 23, 25051, 2009, 0, 1, 1, 1
5021, 8, 23, 25051, 2009, 0, 1, 1, 1
5022, 8, 23, 25051, 2009, 0, 1, 1, 1
5023, 8, 23, 25885, 2006, 0, 1, 1, 1
5024, 8, 23, 26716, 1982, 0, 1, 1, 1
5025, 8, 23, 270, 2004, 0, 1, 1, 1
5026, 8, 23, 270, 2000, 0, 1, 1, 1
5027, 8, 23, 270, 1993, 0, 1, 1, 1
5028, 21, 23, 26716, 2003, 0, 1, 1, 1
5029, 21, 23, 27543, 1981, 0, 1, 2, 1
5030, 8, 23, 26716, 1992, 0, 1, 1, 1
5031, 8, 23, 2786, 1993, 0, 1, 1, 1
5032, 8, 23, 25885, 1993, 0, 1, 1, 1
5033, 8, 23, 25885, 1989, 0, 1, 1, 1
5034, 8, 23, 29210, 2008, 0, 1, 1, 1
5035, 8, 23, 25051, 1993, 0, 1, 1, 1
5036, 21, 23, 25051, 0, 0, 0, 0, 0
5037, 8, 23, 25051, 1991, 0, 1, 1, 1
5038, 8, 23, 29210, 2008, 0, 1, 1, 1
5039, 8, 23, 29210, 1994, 0, 1, 1, 1
5040, 8, 23, 24248, 1994, 0, 1, 1, 1
5041, 8, 23, 20202, 1992, 0, 1, 1, 1
5042, 21, 23, 1106, 0, 0, 0, 0, 0
5043, 8, 23, 1106, 1992, 0, 1, 3, 3
5044, 8, 23, 1106, 1992, 0, 1, 1, 1
5045, 8, 23, 1106, 2008, 0, 1, 1, 1
5046, 8, 23, 1106, 1991, 0, 1, 1, 1
5047, 8, 23, 1944, 2006, 0, 1, 1, 1
5048, 8, 23, 1944, 2005, 0, 1, 1, 1
5049, 8, 23, 1944, 2008, 0, 1, 1, 1
5050, 21, 23, 1944, 0, 0, 0, 0, 0
5051, 8, 23, 2785, 1993, 0, 1, 1, 1
5052, 21, 23, 2785, 0, 0, 0, 0, 0
5053, 8, 23, 2785, 1991, 0, 1, 1, 1
5054, 21, 23, 2785, 1999, 0, 1, 1, 1
5055, 8, 23, 2785, 2009, 0, 1, 1, 1
5056, 8, 23, 3630, 2005, 0, 1, 1, 1
5057, 8, 23, 1944, 1990, 0, 1, 1, 1
5058, 8, 23, 3630, 1980, 0, 1, 1, 1
5059, 8, 23, 3630, 1994, 0, 1, 1, 1
5060, 8, 23, 4474, 1992, 0, 1, 1, 1
5061, 8, 23, 1944, 1992, 0, 1, 1, 1
5062, 8, 23, 4474, 1978, 0, 1, 1, 1
5063, 8, 23, 5314, 1992, 0, 1, 1, 1
5064, 8, 23, 1944, 2008, 0, 1, 1, 1
5065, 8, 23, 5314, 2005, 0, 1, 1, 1
5066, 8, 23, 5314, 2008, 0, 1, 1, 1
5067, 8, 23, 5314, 1981, 0, 1, 1, 1
5068, 21, 23, 5314, 0, 0, 0, 0, 0
5069, 8, 23, 5314, 2008, 0, 1, 1, 1
5070, 8, 23, 5314, 1994, 0, 1, 1, 1
5071, 8, 23, 5314, 0, 0, 0, 0, 0
5072, 8, 23, 5314, 1989, 0, 1, 1, 1
5073, 8, 23, 4474, 1992, 0, 1, 1, 1
5074, 8, 23, 4474, 2008, 0, 1, 1, 1
5075, 8, 23, 4474, 1990, 0, 1, 1, 1
5076, 8, 23, 3630, 2008, 0, 1, 1, 1
5077, 8, 23, 3630, 1992, 0, 1, 1, 1
5078, 8, 23, 13655, 1979, 2010, 0, 1, 0
5079, 8, 23, 12817, 1992, 0, 1, 1, 1
5080, 8, 23, 12817, 2007, 0, 1, 1, 1
5081, 8, 23, 3630, 2005, 0, 1, 1, 1
5082, 8, 23, 3630, 1990, 0, 1, 1, 1
5083, 8, 23, 7821, 1993, 0, 1, 1, 1
5084, 8, 23, 13655, 2008, 0, 1, 1, 1
5085, 8, 23, 13655, 1992, 0, 1, 1, 1
5086, 8, 23, 13655, 1990, 2001, 0, 1, 0
5087, 8, 23, 13655, 1992, 0, 1, 1, 1
5088, 8, 23, 13655, 2008, 0, 1, 1, 1
5089, 8, 23, 13655, 2000, 0, 1, 1, 1
5090, 8, 23, 12817, 1979, 0, 1, 1, 1
5091, 8, 23, 12817, 2007, 0, 1, 1, 1
5092, 8, 23, 12817, 1989, 0, 1, 1, 1
5093, 8, 23, 12817, 1992, 0, 1, 1, 1
5094, 21, 23, 11981, 1993, 0, 1, 1, 1
5095, 8, 23, 11981, 1978, 0, 1, 1, 1
5096, 8, 23, 11981, 1993, 0, 1, 1, 1
5097, 8, 23, 11981, 1992, 0, 1, 1, 1
5098, 21, 23, 12817, 0, 0, 0, 0, 0
5099, 8, 23, 16104, 2005, 0, 1, 1, 1
5100, 8, 23, 16104, 1992, 0, 1, 1, 1
5101, 21, 23, 16104, 2004, 0, 1, 1, 1
5102, 8, 23, 16104, 2007, 0, 1, 1, 1
5103, 8, 23, 16104, 1979, 0, 1, 1, 1
5104, 8, 23, 16104, 2005, 0, 1, 1, 1
5105, 8, 23, 15295, 1981, 0, 1, 1, 1
5106, 21, 23, 15295, 1992, 0, 1, 1, 1
5107, 8, 23, 14477, 1981, 0, 1, 1, 1
5108, 8, 23, 14477, 1992, 0, 1, 1, 1
5109, 8, 23, 24203, 1985, 0, 1, 1, 1
5110, 8, 23, 23397, 1981, 2014, 0, 1, 0
5111, 8, 23, 15295, 1990, 2007, 0, 1, 0
5112, 8, 23, 23397, 1992, 0, 1, 1, 1
5113, 21, 23, 15295, 1992, 0, 1, 1, 1
5114, 8, 23, 16104, 1989, 0, 1, 1, 1
5115, 8, 23, 16104, 2007, 0, 1, 1, 1
5116, 8, 23, 22588, 1992, 0, 1, 1, 1
5117, 8, 23, 22588, 2009, 0, 1, 1, 1
5118, 8, 23, 22588, 1980, 0, 1, 1, 1
5119, 8, 23, 16104, 1992, 0, 1, 1, 1
5120, 21, 23, 16104, 0, 0, 0, 0, 0
5121, 21, 23, 27543, 0, 0, 0, 0, 0
5122, 8, 23, 27543, 1993, 0, 1, 1, 1
5123, 8, 23, 27543, 1990, 0, 1, 1, 1
5124, 8, 23, 27543, 1993, 0, 1, 1, 1
5125, 8, 23, 27543, 2006, 0, 1, 1, 1
5126, 8, 23, 28376, 1978, 0, 1, 1, 1
5127, 8, 23, 28376, 1993, 0, 1, 1, 1
5128, 8, 23, 28376, 1991, 0, 1, 1, 1
5129, 8, 23, 28376, 1993, 0, 1, 1, 1
5130, 8, 23, 29210, 2008, 0, 1, 1, 1
5131, 8, 23, 29210, 1978, 0, 1, 1, 1
5132, 8, 23, 29210, 1994, 0, 1, 1, 1
5133, 8, 23, 29210, 1990, 0, 1, 1, 1
5134, 8, 23, 29210, 2005, 0, 1, 1, 1
5135, 21, 23, 6150, 0, 0, 0, 0, 0
5136, 8, 23, 6150, 1993, 0, 1, 1, 1
5137, 8, 23, 6150, 1977, 0, 1, 1, 1
5138, 8, 23, 6150, 2006, 0, 1, 1, 1
5139, 8, 23, 6984, 1976, 2014, 0, 1, 0
5140, 8, 23, 6984, 1993, 0, 1, 1, 1
5141, 8, 23, 6984, 2006, 0, 1, 1, 1
5142, 8, 23, 2786, 2001, 0, 1, 1, 1
5143, 8, 23, 3631, 1991, 0, 1, 1, 1
5144, 21, 23, 7822, 1977, 2013, 0, 2, 0
5145, 8, 23, 7822, 1992, 0, 1, 1, 1
5146, 8, 23, 3631, 1993, 0, 1, 1, 1
5147, 8, 23, 7822, 1993, 0, 1, 1, 1
